OBJECTID,District,Rank,County,Name,Type,Shift,Fwy,Abs_PM,CA_PM,Number_Days_Active,Avg_Extent__Miles_,Total_Delay__veh_hrs_,Direction,Abs_PM_upstream,Shape_Length
57,8,8,SBD,3.3 miles south of Oak Hill,ML,AM,I15-S,134.66,R25.3L,49,3.5,44576.7,S,138.16,6890.57954324826
58,8,9,RIV,Pierce,ML,PM,SR91-W,48.15,10.724,58,2.03,43865.3,W,50.18,3929.03731169824
59,8,10,SBD,0.5 miles west of Milliken,ML,PM,I210-E,59.84,7.4,53,4.91,41049.5,E,54.93,9535.9925332529
60,10,1,SJ,W-O Mtn House Pkwy OC,ML,AM,I205-W,1.69,0.761,56,2.36,76983,W,4.05,4778.75682891488
61,10,2,SJ,N-O Off to Jack Tone Rd,ML,PM,SR99-S,238.76,2.971,56,2.64,41697,S,241.4,5202.53455482334
62,10,3,SJ,N-O On From Main St,ML,PM,SR99-S,236.56,0.776,59,2.38,39695,S,238.94,4657.41862623108
63,10,4,STA,Kansas Ave,ML,PM,SR99-S,227.83,R16.799,52,1.53,20075,S,229.36,2920.36816900848
64,10,5,SJ,Mossdale E-O Jct I-5,ML,PM,SR120-E,0.42,R0.914,61,1.29,9943,E,1.711,2618.86269296237
65,10,6,SJ,MacArthur Dr,ML,PM,I205-E,9.44,R8.51,59,1.14,8284,E,8.3,2325.73332621909
66,10,7,SJ,E-O Tom Paine Slough,ML,PM,I205-E,12.87,R11.94,42,1.8,7750,E,11.07,3675.33561957871
67,10,8,SJ,W-O Paradise Rd OC,ML,PM,I205-E,10.22,R9.29,35,1.94,6760,E,8.28,3940.61931056216
68,10,9,SJ,French Camp Turnpike,ML,PM,I5-N,468.7,R23.21,38,1.84,6376,N,466.86,3336.94728260418
69,10,10,STA,5th Street,ML,PM,SR99-N,226.51,R15.454,61,0.4,6284,N,226.11,1003.20158645841
70,11,1,SD,Grossmont Blvd to 125 SB,ML,PM,SR125-S,1.83,0,61,4.37,219868,S,6.2,8746.90081155354
71,11,2,SD,805 SB @ University Ave.,ML,PM,I805-S,15.84,15.99,58,6.28,210562.6,S,22.12,12067.9223255218
72,11,3,SD,Lemon Ave to 125 SB,ML,PM,SR125-S,17.03,14.623,61,3.12,106883.1,S,20.15,7285.93473877941
73,11,4,SD,52 EB W-O 15,ML,PM,SR52-E,7.25,7.245,63,1.5,74889,E,5.75,2864.89306004567
